Row,Col
51,146
51,167
52,146
52,147
52,148
52,167
53,148
53,149
53,167
54,148
54,149
59,189
60,164
60,165
60,179
60,188
60,189
61,164
61,179
61,180
61,188
62,164
62,165
62,180
62,181
62,182
63,123
63,124
63,165
63,182
63,183
64,122
64,123
64,124
64,125
64,127
64,164
64,165
64,182
64,183
65,125
65,126
65,127
65,128
65,129
65,130
65,165
65,183
66,125
66,126
66,130
66,131
66,132
66,133
66,182
66,183
66,190
67,126
67,127
67,131
67,132
67,133
67,134
67,135
67,182
67,183
67,190
67,191
67,192
67,193
67,194
68,99
68,126
68,127
68,135
68,136
68,181
68,182
68,193
68,194
69,99
69,125
69,126
69,136
69,137
69,138
69,139
69,140
69,141
69,181
69,182
70,99
70,100
70,124
70,125
70,137
70,139
70,141
70,142
70,143
70,144
70,182
71,99
71,100
71,124
71,144
71,182
72,99
72,100
72,124
72,144
72,181
72,182
73,99
73,100
73,144
73,145
73,181
73,182
74,99
74,145
74,146
74,181
74,182
75,99
75,146
75,147
75,148
75,179
75,180
75,181
75,182
75,183
76,98
76,99
76,148
76,149
76,150
76,151
76,152
76,153
76,154
76,176
76,177
76,178
76,179
76,183
76,184
77,98
77,154
77,155
77,172
77,173
77,174
77,175
77,176
77,179
77,180
77,184
78,98
78,99
78,155
78,180
79,99
79,155
80,98
80,99
81,97
81,98
82,98
82,99
82,118
83,11
83,12
83,13
83,99
83,100
83,117
83,118
83,119
84,12
84,13
84,100
84,110
84,111
84,112
84,117
84,118
84,119
84,120
84,121
84,122
84,123
84,124
84,125
84,126
84,127
84,128
85,11
85,12
85,100
85,101
85,109
85,110
85,112
85,113
85,118
85,120
85,121
85,123
85,124
85,128
86,12
86,101
86,102
86,109
86,113
86,118
86,128
87,11
87,12
87,75
87,76
87,102
87,103
87,108
87,109
87,113
87,114
87,118
87,128
87,129
88,10
88,11
88,61
88,73
88,76
88,77
88,102
88,107
88,108
88,114
88,115
88,118
88,119
88,127
88,128
88,129
89,9
89,10
89,11
89,12
89,60
89,61
89,73
89,77
89,78
89,79
89,102
89,103
89,106
89,107
89,114
89,115
89,116
89,117
89,119
89,120
89,127
89,128
90,9
90,10
90,11
90,12
90,13
90,60
90,73
90,79
90,100
90,101
90,102
90,103
90,104
90,105
90,106
90,107
90,116
90,117
90,118
90,119
90,120
90,127
91,10
91,11
91,13
91,60
91,72
91,73
91,79
91,80
91,100
91,101
91,102
91,104
91,105
91,116
91,120
91,127
91,128
91,129
92,13
92,14
92,57
92,58
92,60
92,71
92,72
92,79
92,80
92,99
92,100
92,109
92,110
92,111
92,112
92,113
92,115
92,116
92,120
92,121
92,129
92,130
93,14
93,15
93,16
93,38
93,41
93,42
93,57
93,58
93,59
93,60
93,69
93,70
93,71
93,79
93,97
93,98
93,99
93,109
93,113
93,114
93,115
93,121
93,122
93,130
93,131
93,132
93,134
94,16
94,17
94,18
94,38
94,39
94,40
94,41
94,42
94,43
94,44
94,57
94,67
94,68
94,69
94,79
94,97
94,109
94,122
94,123
94,124
94,125
94,132
94,133
94,134
95,18
95,38
95,39
95,40
95,44
95,45
95,57
95,66
95,67
95,68
95,97
95,108
95,109
95,124
95,125
96,18
96,19
96,38
96,45
96,46
96,57
96,58
96,66
96,97
96,108
96,109
96,125
96,126
96,210
96,211
96,212
97,19
97,37
97,38
97,45
97,46
97,58
97,66
97,92
97,97
97,109
97,126
97,167
97,208
97,209
97,210
97,212
97,213
97,214
97,215
98,19
98,20
98,45
98,46
98,58
98,65
98,66
98,92
98,93
98,94
98,95
98,96
98,97
98,109
98,126
98,127
98,128
98,167
98,168
98,206
98,207
98,208
98,209
98,214
99,20
99,44
99,45
99,46
99,47
99,48
99,57
99,58
99,65
99,66
99,109
99,128
99,129
99,130
99,131
99,132
99,139
99,140
99,141
99,142
99,143
99,168
99,205
99,206
100,20
100,21
100,43
100,44
100,48
100,56
100,57
100,66
100,109
100,110
100,131
100,132
100,137
100,138
100,139
100,156
100,168
100,195
100,196
100,197
100,204
100,205
101,20
101,42
101,43
101,56
101,65
101,66
101,110
101,111
101,131
101,132
101,136
101,137
101,156
101,168
101,169
101,197
101,198
101,200
101,201
101,202
101,203
101,204
102,19
102,20
102,42
102,56
102,65
102,66
102,110
102,111
102,132
102,133
102,134
102,135
102,136
102,155
102,156
102,168
102,169
102,170
102,171
102,172
102,198
102,199
102,200
103,18
103,19
103,42
103,43
103,56
103,57
103,66
103,110
103,111
103,131
103,132
103,133
103,134
103,154
103,155
103,167
103,168
103,172
103,173
104,18
104,43
104,57
104,58
104,66
104,111
104,129
104,130
104,131
104,154
104,167
104,168
104,173
104,174
104,175
104,176
105,18
105,43
105,58
105,66
105,110
105,111
105,129
105,131
105,132
105,153
105,154
105,166
105,167
105,176
105,177
105,178
105,179
106,18
106,42
106,43
106,58
106,66
106,67
106,110
106,129
106,131
106,132
106,153
106,154
106,165
106,166
107,17
107,18
107,41
107,42
107,58
107,67
107,110
107,129
107,131
107,132
107,153
107,154
107,160
107,161
107,162
107,163
107,164
107,165
107,218
107,219
107,220
107,223
107,224
108,15
108,16
108,17
108,18
108,41
108,58
108,67
108,110
108,132
108,133
108,134
108,153
108,159
108,160
108,165
108,166
108,167
108,201
108,202
108,203
108,204
108,218
108,220
108,221
108,222
108,223
108,224
109,18
109,41
109,58
109,109
109,110
109,134
109,135
109,152
109,153
109,154
109,155
109,156
109,157
109,158
109,159
109,167
109,204
109,205
109,206
109,207
109,208
109,209
109,210
109,217
109,218
109,222
110,18
110,108
110,109
110,135
110,136
110,137
110,138
110,150
110,151
110,152
110,157
110,158
110,167
110,210
110,211
110,212
110,213
110,214
110,215
110,216
110,217
111,18
111,106
111,107
111,108
111,109
111,113
111,138
111,146
111,147
111,149
111,150
111,212
111,213
112,18
112,19
112,106
112,109
112,112
112,113
112,114
112,115
112,137
112,138
112,139
112,146
112,147
112,148
112,149
113,19
113,104
113,105
113,106
113,108
113,109
113,111
113,112
113,114
113,115
113,136
113,137
113,139
113,140
113,143
113,144
113,145
113,146
113,148
113,149
114,19
114,104
114,105
114,108
114,109
114,110
114,111
114,135
114,136
114,140
114,141
114,142
114,143
114,144
114,145
114,146
115,19
115,20
115,21
115,22
115,102
115,103
115,104
115,108
115,109
115,133
115,134
115,135
115,141
115,142
115,145
115,225
116,18
116,19
116,95
116,96
116,97
116,101
116,102
116,103
116,108
116,109
116,132
116,133
116,145
116,146
116,225
116,226
117,18
117,83
117,84
117,85
117,93
117,94
117,95
117,97
117,98
117,101
117,108
117,131
117,132
117,145
117,146
117,147
117,226
118,17
118,18
118,83
118,85
118,86
118,93
118,97
118,98
118,99
118,101
118,108
118,109
118,131
118,147
118,148
119,17
119,86
119,87
119,88
119,91
119,92
119,93
119,97
119,99
119,100
119,101
119,109
119,131
119,132
119,148
119,149
119,195
120,17
120,85
120,86
120,87
120,88
120,89
120,91
120,97
120,98
120,109
120,131
120,132
120,149
120,195
120,196
120,197
120,198
121,17
121,84
121,85
121,89
121,90
121,91
121,97
121,98
121,109
121,132
121,149
121,150
121,198
121,199
121,200
122,16
122,17
122,83
122,84
122,88
122,89
122,90
122,91
122,97
122,98
122,132
122,150
122,151
122,200
122,201
122,202
123,17
123,18
123,19
123,79
123,80
123,81
123,82
123,83
123,87
123,88
123,98
123,132
123,151
123,152
123,153
123,202
123,203
124,74
124,77
124,78
124,79
124,87
124,132
124,133
124,153
124,154
124,203
124,204
125,73
125,74
125,75
125,76
125,77
125,87
125,88
125,133
125,154
125,155
125,204
126,73
126,87
126,88
126,132
126,133
126,134
126,155
126,204
127,72
127,73
127,87
127,89
127,131
127,132
127,133
127,134
127,155
127,156
127,204
127,205
127,208
127,209
128,71
128,72
128,87
128,88
128,89
128,127
128,128
128,129
128,131
128,132
128,134
128,135
128,156
128,157
128,174
128,205
128,206
128,207
128,208
128,209
128,210
128,211
129,67
129,68
129,69
129,70
129,71
129,88
129,89
129,125
129,126
129,127
129,129
129,130
129,131
129,132
129,135
129,157
129,174
129,175
129,176
129,207
129,211
129,212
130,66
130,67
130,68
130,69
130,88
130,89
130,124
130,125
130,130
130,131
130,132
130,135
130,136
130,176
130,177
130,212
130,213
131,66
131,67
131,69
131,89
131,124
131,125
131,136
131,177
131,178
131,179
131,180
131,213
131,214
131,215
132,39
132,61
132,62
132,63
132,64
132,65
132,66
132,67
132,68
132,69
132,88
132,89
132,121
132,122
132,123
132,124
132,125
132,136
132,180
132,181
132,214
132,215
133,39
133,55
133,59
133,60
133,61
133,68
133,88
133,121
133,125
133,136
133,180
133,181
133,182
134,39
134,40
134,55
134,56
134,57
134,58
134,59
134,68
134,69
134,88
134,119
134,120
134,121
134,124
134,125
134,126
134,127
134,136
134,137
134,182
134,189
134,190
134,191
134,192
134,193
134,194
134,195
134,196
134,197
135,40
135,57
135,58
135,69
135,88
135,89
135,118
135,119
135,125
135,126
135,127
135,137
135,138
135,182
135,183
135,188
135,189
135,191
135,192
135,193
135,194
135,195
136,40
136,41
136,54
136,58
136,59
136,69
136,70
136,71
136,72
136,89
136,117
136,118
136,127
136,138
136,139
136,183
136,184
136,185
136,186
136,187
136,188
137,41
137,42
137,53
137,54
137,55
137,56
137,57
137,58
137,59
137,70
137,72
137,73
137,116
137,117
137,126
137,127
137,139
137,140
137,180
137,181
137,182
137,183
137,184
137,185
138,42
138,47
138,48
138,49
138,50
138,52
138,53
138,57
138,58
138,72
138,73
138,74
138,75
138,111
138,112
138,113
138,114
138,115
138,116
138,126
138,127
138,128
138,140
138,141
138,177
138,178
138,179
138,180
138,181
138,185
139,42
139,43
139,44
139,45
139,46
139,47
139,50
139,51
139,52
139,57
139,72
139,73
139,75
139,76
139,77
139,105
139,106
139,107
139,108
139,109
139,110
139,111
139,115
139,126
139,127
139,128
139,129
139,141
139,142
139,176
139,177
140,29
140,30
140,44
140,45
140,48
140,49
140,50
140,51
140,52
140,57
140,58
140,73
140,77
140,78
140,79
140,104
140,105
140,109
140,126
140,129
140,142
140,143
140,173
140,174
140,175
140,176
141,28
141,29
141,30
141,31
141,32
141,36
141,37
141,40
141,41
141,44
141,45
141,48
141,58
141,73
141,74
141,79
141,80
141,81
141,104
141,105
141,106
141,109
141,110
141,126
141,127
141,129
141,130
141,143
141,171
141,172
141,173
142,27
142,28
142,32
142,33
142,35
142,36
142,37
142,38
142,39
142,40
142,41
142,42
142,43
142,44
142,48
142,49
142,58
142,73
142,74
142,81
142,106
142,110
142,127
142,171
143,23
143,24
143,26
143,27
143,33
143,34
143,35
143,42
143,43
143,48
143,49
143,58
143,74
143,81
143,82
143,105
143,106
143,110
143,127
143,168
143,169
143,170
143,171
144,22
144,23
144,24
144,25
144,26
144,35
144,42
144,47
144,48
144,57
144,58
144,74
144,75
144,105
144,106
144,110
144,111
144,127
144,166
144,167
144,168
145,20
145,21
145,22
145,35
145,42
145,47
145,57
145,75
145,76
145,106
145,111
145,112
145,127
145,166
146,19
146,20
146,34
146,35
146,42
146,47
146,57
146,75
146,76
146,106
146,112
146,126
146,127
147,34
147,42
147,47
147,57
147,75
147,76
147,106
147,112
147,113
147,126
147,192
147,193
148,34
148,41
148,42
148,47
148,48
148,57
148,58
148,76
148,106
148,112
148,113
148,126
148,127
148,193
149,34
149,41
149,58
149,76
