Row,Col
166,151
162,156
167,152
166,152
162,157
166,154
167,153
167,154
163,157
166,155
164,157
166,156
165,157
166,157
166,158
167,158
168,159
167,159
145,166
168,160
144,166
144,167
153,77
168,161
153,60
154,129
169,162
144,168
152,60
146,20
168,162
100,195
152,77
146,19
108,201
153,129
100,197
143,168
100,196
152,59
169,163
153,128
108,202
145,20
169,164
151,77
169,165
151,59
109,204
170,165
108,203
109,205
108,204
145,21
101,197
152,128
143,169
109,206
150,59
150,77
151,113
170,166
145,22
149,76
150,58
144,22
149,77
151,128
170,167
150,113
148,57
144,23
157,30
149,58
170,168
109,207
143,23
101,198
171,168
156,30
102,198
150,128
143,170
148,76
172,169
143,24
148,58
144,24
150,127
156,31
144,26
149,113
147,57
171,169
155,31
144,25
155,32
149,106
147,75
147,76
132,39
172,170
143,171
109,208
143,26
143,27
149,127
154,32
148,106
153,32
172,171
142,28
142,27
148,112
146,76
146,57
133,39
172,172
146,75
153,33
148,113
102,199
141,28
98,167
143,81
97,167
148,126
101,200
148,127
145,76
152,33
147,106
140,29
151,33
151,34
141,29
143,82
147,113
140,30
134,39
145,57
134,40
156,173
109,41
142,171
150,34
145,75
98,168
141,30
150,41
109,209
149,34
105,179
141,32
102,200
148,48
148,47
149,41
147,112
148,34
141,31
142,32
147,126
148,42
144,57
142,33
148,41
147,34
146,106
79,155
144,75
173,172
143,33
105,178
135,40
146,35
146,34
145,35
144,74
142,81
144,35
141,143
104,176
136,40
147,47
119,195
99,168
146,127
147,42
143,34
144,58
141,171
146,126
101,201
156,174
141,36
146,42
136,41
143,35
141,81
105,177
129,174
145,106
141,79
141,37
105,176
146,47
120,195
142,35
109,210
145,47
146,112
104,173
137,42
145,112
104,175
142,36
145,42
140,143
160,176
158,175
143,74
137,41
104,174
141,80
128,174
144,47
142,37
144,105
174,172
136,89
144,106
159,176
142,38
143,58
142,49
156,175
143,49
78,155
100,168
140,79
108,41
142,39
142,58
144,42
145,127
175,172
156,176
175,174
144,48
120,196
140,77
142,40
141,40
143,43
141,41
158,176
143,105
142,74
138,42
103,173
143,42
142,73
143,48
129,175
139,42
141,58
103,172
140,78
143,106
142,41
141,74
109,58
142,42
101,202
133,55
142,43
145,111
142,44
144,127
120,198
101,168
142,48
141,44
141,130
135,89
139,43
120,197
77,155
141,172
134,55
140,142
76,154
144,111
128,157
140,104
141,45
102,172
139,44
140,44
175,173
101,169
141,104
142,106
141,106
141,129
139,77
139,45
141,48
141,73
157,176
141,105
110,210
177,174
144,110
143,127
140,45
107,41
102,170
102,171
108,58
129,176
140,48
139,46
138,47
138,49
139,47
138,50
140,73
134,56
139,142
139,76
121,199
140,58
77,154
138,48
140,49
121,198
140,57
160,177
127,156
138,75
140,105
140,52
129,157
102,169
139,75
157,177
176,174
130,176
140,50
143,110
141,173
139,50
138,52
125,155
139,105
139,51
121,200
135,88
138,53
139,73
142,127
136,54
140,51
76,153
107,58
142,110
134,57
157,178
139,72
101,203
178,176
128,156
139,52
140,129
76,152
102,168
137,59
103,167
137,53
136,59
138,74
141,127
141,110
100,156
137,54
139,106
127,155
137,73
137,55
138,73
138,72
123,153
177,175
103,168
141,109
140,173
139,107
139,57
141,126
76,148
107,42
135,57
139,141
137,56
177,176
158,178
137,72
76,151
138,141
136,72
101,204
137,57
139,129
133,59
126,155
140,109
138,111
139,109
124,154
139,108
139,110
125,154
133,61
136,71
76,149
122,200
137,70
106,58
138,58
134,58
139,111
101,156
138,57
138,112
134,88
137,58
178,177
102,156
76,150
159,178
136,58
130,177
139,128
140,126
124,153
134,59
138,113
100,204
123,152
136,69
110,167
110,211
104,167
106,43
135,58
132,61
123,151
136,70
132,89
133,88
104,168
131,177
122,151
140,174
134,68
138,114
129,68
139,126
105,166
138,128
139,127
133,60
109,167
102,155
160,178
132,68
108,167
132,88
77,172
75,148
138,140
133,68
129,67
138,126
121,150
132,62
105,167
178,178
139,115
159,179
183,179
123,19
138,127
100,205
138,115
137,117
135,69
137,140
138,116
132,67
106,42
134,69
106,165
110,212
132,63
108,67
131,67
137,116
137,126
137,127
123,18
130,66
103,155
132,65
108,166
123,17
122,201
106,166
140,175
132,64
131,89
105,58
131,66
132,66
104,57
136,139
106,67
103,154
134,119
178,179
75,147
122,202
132,69
134,124
129,69
99,205
122,16
178,181
122,150
134,127
137,139
136,127
107,67
77,173
108,165
130,67
136,117
136,118
122,17
76,176
121,149
130,89
130,88
107,165
140,176
135,118
75,146
183,180
131,178
121,17
106,66
77,184
135,127
107,164
135,119
131,69
104,58
129,125
135,138
136,138
135,137
107,163
104,154
134,120
132,121
118,17
77,174
130,68
105,43
134,136
178,180
130,124
111,212
120,17
134,121
135,126
134,137
107,162
119,17
129,88
129,71
134,126
115,22
132,123
133,121
135,125
77,175
118,18
105,66
161,179
105,153
105,154
132,122
129,89
74,146
106,153
127,72
128,71
134,125
133,125
120,149
132,124
77,176
111,213
123,202
160,179
107,161
129,126
78,180
131,124
130,69
107,160
98,206
108,160
109,159
116,18
130,125
180,181
76,177
117,18
127,89
128,88
129,70
104,66
99,206
128,89
131,125
76,184
132,136
179,181
115,21
130,135
76,183
110,158
128,87
132,125
103,66
139,176
133,136
130,136
108,159
129,127
128,72
123,83
106,154
128,127
131,136
110,213
183,181
127,87
103,57
115,19
114,19
110,157
109,158
77,180
180,182
74,145
116,19
107,153
127,73
115,20
119,148
77,179
126,87
123,203
109,157
102,66
99,58
119,149
103,56
109,156
124,74
126,73
181,182
107,154
73,145
129,135
73,144
108,15
113,19
126,88
76,178
104,43
131,179
161,182
118,148
109,155
184,183
128,135
102,65
182,182
124,203
128,128
112,19
76,179
108,153
112,18
184,182
75,183
