Row,Col
153,77
153,60
154,129
152,60
146,20
152,77
146,19
153,129
152,59
153,128
145,20
151,77
151,59
145,21
152,128
150,59
150,77
151,113
145,22
149,76
150,58
144,22
149,77
151,128
150,113
148,57
144,23
157,30
149,58
143,23
156,30
150,128
148,76
143,24
148,58
144,24
150,127
156,31
144,26
149,113
147,57
155,31
144,25
155,32
149,106
147,75
147,76
132,39
143,26
143,27
149,127
154,32
148,106
153,32
142,28
142,27
148,112
146,76
146,57
133,39
146,75
153,33
148,113
141,28
98,167
143,81
97,167
148,126
148,127
145,76
152,33
147,106
140,29
151,33
151,34
141,29
143,82
147,113
140,30
134,39
145,57
134,40
150,34
145,75
98,168
141,30
150,41
149,34
105,179
141,32
148,48
148,47
149,41
147,112
148,34
141,31
142,32
147,126
148,42
144,57
142,33
148,41
147,34
146,106
79,155
144,75
143,33
105,178
135,40
146,35
146,34
145,35
144,74
142,81
144,35
141,143
104,176
136,40
147,47
99,168
146,127
147,42
143,34
144,58
146,126
141,36
146,42
136,41
143,35
141,81
105,177
145,106
141,79
141,37
105,176
146,47
142,35
145,47
146,112
104,173
137,42
145,112
104,175
142,36
145,42
140,143
143,74
137,41
104,174
141,80
144,47
142,37
144,105
136,89
144,106
142,38
143,58
142,49
143,49
78,155
100,168
140,79
142,39
142,58
144,42
145,127
144,48
140,77
142,40
141,40
143,43
141,41
143,105
142,74
138,42
103,173
143,42
142,73
143,48
139,42
141,58
103,172
140,78
143,106
142,41
141,74
142,42
133,55
142,43
145,111
142,44
144,127
101,168
142,48
141,44
141,130
135,89
139,43
77,155
134,55
140,142
76,154
144,111
128,157
140,104
141,45
102,172
139,44
140,44
101,169
141,104
142,106
141,106
141,129
139,77
139,45
141,48
141,73
141,105
144,110
143,127
140,45
102,170
102,171
140,48
139,46
138,47
138,49
139,47
138,50
140,73
134,56
139,142
139,76
140,58
77,154
138,48
140,49
140,57
127,156
138,75
140,105
140,52
129,157
102,169
139,75
140,50
143,110
139,50
138,52
125,155
139,105
139,51
135,88
138,53
139,73
142,127
136,54
140,51
76,153
142,110
134,57
139,72
128,156
139,52
140,129
76,152
102,168
137,59
103,167
137,53
136,59
138,74
141,127
141,110
100,156
137,54
139,106
127,155
137,73
137,55
138,73
138,72
123,153
103,168
141,109
139,107
139,57
141,126
76,148
135,57
139,141
137,56
137,72
76,151
138,141
136,72
137,57
139,129
133,59
126,155
140,109
138,111
139,109
124,154
139,108
139,110
125,154
133,61
136,71
76,149
137,70
138,58
134,58
139,111
101,156
138,57
138,112
134,88
137,58
102,156
76,150
136,58
139,128
140,126
124,153
134,59
138,113
123,152
136,69
110,167
104,167
135,58
132,61
123,151
136,70
132,89
133,88
104,168
122,151
134,68
138,114
129,68
139,126
105,166
138,128
139,127
133,60
109,167
102,155
132,68
108,167
132,88
75,148
138,140
133,68
129,67
138,126
121,150
132,62
105,167
139,115
138,127
138,115
137,117
135,69
137,140
138,116
132,67
134,69
106,165
132,63
131,67
137,116
137,126
137,127
130,66
103,155
132,65
108,166
106,166
132,64
131,89
131,66
132,66
136,139
103,154
134,119
75,147
132,69
134,124
129,69
122,150
134,127
137,139
136,127
108,165
130,67
136,117
136,118
121,149
130,89
130,88
107,165
135,118
75,146
135,127
107,164
135,119
131,69
129,125
135,138
136,138
135,137
107,163
104,154
134,120
132,121
130,68
134,136
130,124
134,121
135,126
134,137
107,162
129,88
129,71
134,126
132,123
133,121
135,125
105,153
105,154
132,122
129,89
74,146
106,153
127,72
128,71
134,125
133,125
120,149
132,124
107,161
129,126
131,124
130,69
107,160
108,160
109,159
130,125
127,89
128,88
129,70
128,89
131,125
132,136
130,135
110,158
128,87
132,125
133,136
130,136
108,159
129,127
128,72
123,83
106,154
128,127
131,136
127,87
110,157
109,158
74,145
107,153
127,73
119,148
126,87
123,203
109,157
119,149
109,156
124,74
126,73
107,154
73,145
129,135
73,144
126,88
118,148
109,155
128,135
128,128
108,153
128,129
125,88
124,77
109,154
130,130
129,129
129,130
125,87
125,74
125,77
