Sampling Point,Easting,Northing,Row,Col,Latitude,Longitude
FR1,622136.6,8079729.9,83,34,-17.364733,178.149617
FR2,622730.9,8078145.8,99,40,-17.379017,178.1553
FR3,620876.1,8075632.3,124,21,-17.401833,178.137983
FR4,620877.8,8075628.5,124,21,-17.401867,178.138
FR5,629681.2,8081182.7,69,109,-17.351183,178.220533
FG1,628274.9,8081460.8,66,95,-17.34875,178.207283
FG2,628243.0,8081457.4,66,95,-17.348783,178.206983
FG3,629621.5,8082376.3,57,109,-17.3404,178.2199
FG4 ,627834.3,8081520.8,65,91,-17.348233,178.203133
FG5 ,627753.9,8081406.9,66,90,-17.349267,178.202383
FG6,628965.6,8080613.6,74,102,-17.356367,178.213833
FG7,627300.7,8082016.5,60,86,-17.343783,178.198083
FG8,627313.3,8082042.2,60,86,-17.34355,178.1982
FG9,626415.1,8082298.7,58,77,-17.341283,178.189733
