Sampling Point,Easting,Northing,Row,Col,Latitude,Longitude
FR1,622136.6,8079729.9,83,112,-17.364733,178.149617
FR2,622730.9,8078145.8,99,118,-17.379017,178.1553
FR3,620876.1,8075632.3,124,99,-17.401833,178.137983
FR4,620877.8,8075628.5,124,99,-17.401867,178.138
FR5,629681.2,8081182.7,69,187,-17.351183,178.220533
FG1,628274.9,8081460.8,66,173,-17.34875,178.207283
FG2,628243.0,8081457.4,66,173,-17.348783,178.206983
FG3,629621.5,8082376.3,57,187,-17.3404,178.2199
FG4 ,627834.3,8081520.8,65,169,-17.348233,178.203133
FG5 ,627753.9,8081406.9,66,168,-17.349267,178.202383
FG6,628965.6,8080613.6,74,180,-17.356367,178.213833
FG7,627300.7,8082016.5,60,164,-17.343783,178.198083
FG8,627313.3,8082042.2,60,164,-17.34355,178.1982
FG9,626415.1,8082298.7,58,155,-17.341283,178.189733
No1,634193.3,8077293.4,108,232,-17.386067,178.263233
No2,633537.3,8078258.7,98,226,-17.377383,178.257
No3,632897.7,8082010.3,60,219,-17.343517,178.25075
No4,633244.9,8082561.3,55,223,-17.338517,178.253983
No5,612075.6,8080883.4,72,11,-17.35483,178.05487
No6,612089.3,8080872.3,72,11,-17.35493,178.055
No7,616138.0,8081469.3,66,52,-17.34933,178.09307
No8,615826.3,8080899.0,72,49,-17.3545,178.090167
No9,617593.5,8086020.8,20,66,-17.30812,178.10652
No10,619956.7,8088458.0,-4,90,-17.28597,178.12862
No11,629441.0,8083741.8,43,185,-17.32807,178.21812
